,Callahan Neighborhood Center,Colonialtown Neighborhood Center,Mayor Carl T. Langford Neighborhood Center,College Park Neighborhood Center,Grand Avenue Neighborhood Center,John H. Jackson Neighborhood Center,Holden Heights Community Center,Dr. James R. Smith Neighborhood Center,Rock Lake Neighborhood Center,Wadeview Community Center,Engelwood Neighborhood Center,Northwest Neighborhood Center,Pine Hills Community Center,Rosemont Community Center,Pine Hills Neighborhood Center for Families,Oak Ridge Neighborhood Center,Dover Shores Community Center,Orlo Vista Park,Meadow Woods Recreation Center,South Econ Community Park,Big Hawk Recreation Center,Downtown Recreation Complex,Silver Star Recreation Center,Orlando Magic Recreation Center,Blue Jacket Park,Cypress Grove Park,Lake Lorna Doone Park,Lake Underhill Park,Eagle Nest Park,George Barker Park,Gilbert McQueen Park,Gaston Edwards Park,Lila Mitchell Ivey Lane Neighborhood Center for Families,Ivey Lane Park,South Trail Branch Library,Washington Park Branch Library,Southeast Branch Library,Fairview Shores Branch Library,Chickasaw Branch Library,Southwest Branch Library,Ocoee Lakeshore Center,Eastmonte Park,Westmonte Park,John Bridges Community Center,Winter Springs Civic Center,Lake Mary Community Center,Denton Johnson Community Center,Minnehaha Park,Maitland Senior Center,Oviedo Recreation & Parks,Winter Park Community Center,Azalea Lane Recreation Center
Westmonte Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3868,0.0,0.0,0.0,4.392,0.0,0.0,0.0,0.0,5.6383,0.0,6.7053,0.0,0.0,0.0
John Bridges Community Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Springs Civic Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8395,0.0,0.0,0.0,5.1779,0.0,0.0,0.0,0.0,0.0,0.0
Lake Mary Community Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denton Johnson Community Center,6.6893,4.6549,6.1782,5.1227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5339,0.0,0.0,4.8297,0.0,0.0,0.0,0.0,0.0,0.0,5.3008,0.0,0.0,0.0,0.0,0.0,2.4394,0.0,0.0,0.0,4.4822,5.9082,0.0,0.0,0.0,0.0,2.1594,1.6016,0.0,2.5218,2.9606
Minnehaha Park,0.0,5.2474,6.7707,6.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7789,5.4223,0.0,0.0,0.0,0.0,0.0,0.0,5.3171,0.0,0.0,0.0,0.0,0.0,4.0292,0.0,0.0,0.0,3.3539,6.3331,0.0,0.0,0.0,2.1534,0.0,0.9666,0.0,3.1144,3.5532
Maitland Senior Center,0.0,4.6967,6.22,6.1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7083,4.8716,0.0,0.0,0.0,0.0,0.0,0.0,4.7664,0.0,0.0,0.0,0.0,0.0,3.4784,0.0,0.0,0.0,3.1507,6.1299,0.0,0.0,0.0,1.6026,0.9879,0.0,0.0,2.5637,3.0024
Oviedo Recreation & Parks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Park Community Center,4.8757,2.855,4.3783,3.1663,6.2741,6.1477,0.0,0.0,5.6631,6.0064,0.0,6.5114,0.0,6.2243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7203,0.0,4.9923,2.3006,0.0,5.8976,5.8707,0.0,6.8101,0.0,2.9246,0.0,0.0,0.0,0.0,0.0,3.1663,0.0,0.0,0.0,5.4331,0.0,0.0,0.0,0.0,2.541,3.1104,2.5525,0.0,0.0,0.6706
Azalea Lane Recreation Center,4.4304,2.4097,3.933,2.7209,5.8288,5.7023,6.4523,0.0,5.2177,5.561,0.0,6.0661,0.0,6.2793,6.5307,0.0,0.0,0.0,0.0,0.0,0.0,4.275,0.0,5.3363,1.9609,0.0,5.4523,6.0857,0.0,6.3648,0.0,2.4793,0.0,0.0,0.0,0.0,0.0,3.1768,0.0,0.0,0.0,5.8652,0.0,0.0,0.0,0.0,2.9731,3.5424,2.9846,0.0,0.6706,0.0
